"","Brand","ProductName","ShadeName","ShadeColour","L"
"1","Sisley-Paris","Phyto-Teint Ultra Eclat","N3 NATURAL","#F5DBC2",0.86078431372549
"2","Sisley-Paris","Phyto-Teint Ultra Eclat","N4 HONEY","#DEC2AA",0.768627450980392
"3","Sisley-Paris","Phyto-Teint Ultra Eclat","N5 GOLDEN TAN","#EED0B8",0.827450980392157
"4","Sisley-Paris","Phyto-Teint Ultra Eclat","N0 PORCELAINE","#E2C4A0",0.756862745098039
"5","Sisley-Paris","Phyto-Teint Ultra Eclat","N3+ APRICOT","#F4D9BE",0.850980392156863
"6","Sisley-Paris","Phyto-Teint Ultra Eclat","N7 MOKA","#EAC3A9",0.790196078431373
"7","Sisley-Paris","Phyto-Teint Ultra Eclat","N4+ CINNAMON","#DEB796",0.729411764705882
"8","Sisley-Paris","Phyto-Teint Ultra Eclat","N5+ TOFFEE","#ECCDB0",0.807843137254902
"9","Sisley-Paris","Phyto-Teint Ultra Eclat","N6+ CHESNUT","#CDA280",0.652941176470588
"10","Sisley-Paris","Phyto-Teint Ultra Eclat","SWAN","#E5C3A7",0.776470588235294
"11","Sisley-Paris","Phyto-Teint Ultra Eclat","ECRU","#EDD0A6",0.790196078431373
"12","Sisley-Paris","Phyto-Teint Ultra Eclat","2W2 DESERT","#E1C1A8",0.770588235294118
"13","Sisley-Paris","Phyto-Teint Ultra Eclat","3W2 HAZEL","#D6B896",0.713725490196078
"14","Sisley-Paris","Phyto-Teint Ultra Eclat","000N SNOW","#EDDBC3",0.847058823529412
"15","RMS Beauty","SunCoverup Super Tint SPF 50","ALABASTER","#E8C8B3",0.805882352941176
"16","RMS Beauty","SunCoverup Super Tint SPF 50","IVORY","#ECC4AA",0.796078431372549
"17","RMS Beauty","SunCoverup Super Tint SPF 50","CAMEO","#EAC1A1",0.774509803921569
"18","RMS Beauty","SunCoverup Super Tint SPF 50","BUFF","#E3AF7F",0.694117647058824
"19","RMS Beauty","SunCoverup Super Tint SPF 50","SAND","#D99A6E",0.641176470588235
"20","RMS Beauty","SunCoverup Super Tint SPF 50","TAN","#DC9F73",0.656862745098039
"21","RMS Beauty","SunCoverup Super Tint SPF 50","HONEY","#D68D56",0.588235294117647
"22","RMS Beauty","SunCoverup Super Tint SPF 50","TAWNY","#D58A47",0.556862745098039
"23","RMS Beauty","SunCoverup Super Tint SPF 50","CARAMEL","#CA7840",0.52156862745098
"24","RMS Beauty","SunCoverup Super Tint SPF 50","SPICE","#BC612C",0.454901960784314
"25","RMS Beauty","SunCoverup Super Tint SPF 50","TOFFEE","#A94E21",0.396078431372549
"26","RMS Beauty","SunCoverup Super Tint SPF 50","MAHOGANY","#9F4016",0.354901960784314
"27","RMS Beauty","SunCoverup Super Tint SPF 50","MOCHA","#7D2019",0.294117647058824
"28","VIEVE","Skin Nova Complexion Balm","100","#F2E4DB",0.903921568627451
"29","VIEVE","Skin Nova Complexion Balm","110","#F6E0D2",0.894117647058823
"30","VIEVE","Skin Nova Complexion Balm","130","#E9C9B2",0.805882352941176
"31","VIEVE","Skin Nova Complexion Balm","140","#EACAB3",0.809803921568627
"32","VIEVE","Skin Nova Complexion Balm","210","#DEAB8E",0.713725490196078
"33","VIEVE","Skin Nova Complexion Balm","220","#E8B393",0.743137254901961
"34","VIEVE","Skin Nova Complexion Balm","240","#EFB689",0.737254901960784
"35","VIEVE","Skin Nova Complexion Balm","300","#D29872",0.635294117647059
"36","VIEVE","Skin Nova Complexion Balm","310","#C68764",0.584313725490196
"37","VIEVE","Skin Nova Complexion Balm","320","#C8906B",0.601960784313725
"38","VIEVE","Skin Nova Complexion Balm","330","#C18165",0.576470588235294
"39","VIEVE","Skin Nova Complexion Balm","340","#BC8163",0.562745098039216
"40","VIEVE","Skin Nova Complexion Balm","400","#7F5141",0.376470588235294
"41","VIEVE","Skin Nova Complexion Balm","410","#7A4938",0.349019607843137
"42","VIEVE","Skin Nova Complexion Balm","420","#6A3F38",0.317647058823529
"43","VIEVE","Skin Nova Complexion Balm","430","#623D35",0.296078431372549
"44","VIEVE","Skin Nova Complexion Balm","440","#442824",0.203921568627451
"45","VIEVE","Skin Nova Complexion Balm","120","#F7E2CD",0.886274509803922
"46","VIEVE","Skin Nova Complexion Balm","200","#E6C4A8",0.780392156862745
"47","VIEVE","Skin Nova Complexion Balm","230","#DFA67B",0.67843137254902
"48","Shiseido","Synchro Skin Radiant Lifting Foundation","110","#EBCCAD",0.8
"49","Shiseido","Synchro Skin Radiant Lifting Foundation","120","#E6C2A8",0.780392156862745
"50","Shiseido","Synchro Skin Radiant Lifting Foundation","130","#EFC7A8",0.798039215686275
"51","Shiseido","Synchro Skin Radiant Lifting Foundation","140","#E8BCA1",0.770588235294118
"52","Shiseido","Synchro Skin Radiant Lifting Foundation","150","#E7BA9D",0.76078431372549
"53","Shiseido","Synchro Skin Radiant Lifting Foundation","160","#EABC9A",0.76078431372549
"54","Shiseido","Synchro Skin Radiant Lifting Foundation","210","#E0B38A",0.709803921568627
"55","Shiseido","Synchro Skin Radiant Lifting Foundation","220","#E2B898",0.741176470588235
"56","Shiseido","Synchro Skin Radiant Lifting Foundation","230","#E1AC82",0.696078431372549
"57","Shiseido","Synchro Skin Radiant Lifting Foundation","240","#EBB791",0.745098039215686
"58","Shiseido","Synchro Skin Radiant Lifting Foundation","250","#E2AE87",0.707843137254902
"59","Shiseido","Synchro Skin Radiant Lifting Foundation","310","#E2AF8A",0.713725490196078
"60","Shiseido","Synchro Skin Radiant Lifting Foundation","320","#E1AF84",0.7
"61","Shiseido","Synchro Skin Radiant Lifting Foundation","330","#91674E",0.437254901960784
"62","Shiseido","Synchro Skin Radiant Lifting Foundation","340","#CB9863",0.592156862745098
"63","Shiseido","Synchro Skin Radiant Lifting Foundation","360","#DB9C71",0.650980392156863
"64","Shiseido","Synchro Skin Radiant Lifting Foundation","410","#C8895D",0.574509803921569
"65","Shiseido","Synchro Skin Radiant Lifting Foundation","420","#BF7D4D",0.525490196078431
"66","Shiseido","Synchro Skin Radiant Lifting Foundation","440","#975D35",0.4
"67","Shiseido","Synchro Skin Radiant Lifting Foundation","450","#96583F",0.417647058823529
"68","Shiseido","Synchro Skin Radiant Lifting Foundation","460","#9C603E",0.427450980392157
"69","Shiseido","Synchro Skin Radiant Lifting Foundation","510","#A26644",0.450980392156863
"70","Shiseido","Synchro Skin Radiant Lifting Foundation","520","#8B4F37",0.380392156862745
"71","Shiseido","Synchro Skin Radiant Lifting Foundation","530","#8F5642",0.409803921568627
"72","Shiseido","Synchro Skin Radiant Lifting Foundation","540","#743C2D",0.315686274509804
"73","Shiseido","Synchro Skin Radiant Lifting Foundation","550","#653525",0.270588235294118
"74","Shiseido","Synchro Skin Radiant Lifting Foundation","560","#5C382A",0.262745098039216
"75","Shiseido","Synchro Skin Radiant Lifting Foundation","260","#E2AC8A",0.713725490196078
"76","Shiseido","Synchro Skin Radiant Lifting Foundation","350","#D59E75",0.647058823529412
"77","Shiseido","Synchro Skin Radiant Lifting Foundation","430","#AC6A47",0.476470588235294
"78","Shiseido","Self-Refreshing Foundation","110","#E9CEB1",0.803921568627451
"79","Shiseido","Self-Refreshing Foundation","130","#ECC7AA",0.796078431372549
"80","Shiseido","Self-Refreshing Foundation","140","#E6BCA4",0.772549019607843
"81","Shiseido","Self-Refreshing Foundation","150","#E5B9A0",0.762745098039216
"82","Shiseido","Self-Refreshing Foundation","160","#E8BB9A",0.756862745098039
"83","Shiseido","Self-Refreshing Foundation","210","#E1B78F",0.72156862745098
"84","Shiseido","Self-Refreshing Foundation","220","#E2B99D",0.750980392156863
"85","Shiseido","Self-Refreshing Foundation","230","#DFAE86",0.7
"86","Shiseido","Self-Refreshing Foundation","240","#E8B695",0.747058823529412
"87","Shiseido","Self-Refreshing Foundation","250","#DEB08E",0.713725490196078
"88","Shiseido","Self-Refreshing Foundation","260","#D9AA8C",0.7
"89","Shiseido","Self-Refreshing Foundation","310","#DBAB8A",0.7
"90","Shiseido","Self-Refreshing Foundation","320","#DEAC87",0.7
"91","Shiseido","Self-Refreshing Foundation","330","#D2A27A",0.650980392156863
"92","Shiseido","Self-Refreshing Foundation","340","#CC9866",0.6
"93","Shiseido","Self-Refreshing Foundation","350","#D7A077",0.654901960784314
"94","Shiseido","Self-Refreshing Foundation","360","#D19D75",0.63921568627451
"95","Shiseido","Self-Refreshing Foundation","410","#C98B64",0.590196078431373
"96","Shiseido","Self-Refreshing Foundation","420","#C08052",0.537254901960784
"97","Shiseido","Self-Refreshing Foundation","430","#B36F48",0.492156862745098
"98","Shiseido","Self-Refreshing Foundation","440","#99623B",0.415686274509804
"99","Shiseido","Self-Refreshing Foundation","450","#965A42",0.423529411764706
"100","Shiseido","Self-Refreshing Foundation","460","#9D6041",0.435294117647059
"101","Shiseido","Self-Refreshing Foundation","510","#A36648",0.46078431372549
"102","Shiseido","Self-Refreshing Foundation","520","#8D503B",0.392156862745098
"103","Shiseido","Self-Refreshing Foundation","530","#8D5642",0.405882352941176
"104","Shiseido","Self-Refreshing Foundation","540","#743C2D",0.315686274509804
"105","Shiseido","Self-Refreshing Foundation","550","#653626",0.272549019607843
"106","Shiseido","Self-Refreshing Foundation","560","#5B3729",0.258823529411765
"107","Shiseido","Self-Refreshing Foundation","120","#E5C3AA",0.782352941176471
"108","Anastasia Beverly Hills","Beauty Balm Serum Boosted Skin Tint","SHADE 1","#E3CFB4",0.798039215686275
"109","Anastasia Beverly Hills","Beauty Balm Serum Boosted Skin Tint","SHADE 2","#D7BBA3",0.741176470588235
"110","Anastasia Beverly Hills","Beauty Balm Serum Boosted Skin Tint","SHADE 3","#D6B798",0.717647058823529
"111","Anastasia Beverly Hills","Beauty Balm Serum Boosted Skin Tint","SHADE 4","#DABA93",0.715686274509804
"112","Anastasia Beverly Hills","Beauty Balm Serum Boosted Skin Tint","SHADE 5","#CDAB86",0.664705882352941
"113","Anastasia Beverly Hills","Beauty Balm Serum Boosted Skin Tint","SHADE 6","#D3AD80",0.664705882352941
"114","Anastasia Beverly Hills","Beauty Balm Serum Boosted Skin Tint","SHADE 7","#C7A57F",0.63921568627451
"115","Anastasia Beverly Hills","Beauty Balm Serum Boosted Skin Tint","SHADE 8","#D4AE7D",0.66078431372549
"116","Anastasia Beverly Hills","Beauty Balm Serum Boosted Skin Tint","SHADE 9","#BA905E",0.549019607843137
"117","Anastasia Beverly Hills","Beauty Balm Serum Boosted Skin Tint","SHADE 10","#C0966C",0.588235294117647
"118","Anastasia Beverly Hills","Beauty Balm Serum Boosted Skin Tint","SHADE 11","#B2875D",0.531372549019608
"119","Anastasia Beverly Hills","Beauty Balm Serum Boosted Skin Tint","SHADE 12","#AA774A",0.47843137254902
"120","Anastasia Beverly Hills","Beauty Balm Serum Boosted Skin Tint","SHADE 13","#885736",0.372549019607843
"121","Anastasia Beverly Hills","Beauty Balm Serum Boosted Skin Tint","SHADE 14","#6F4225",0.290196078431373
"122","Anastasia Beverly Hills","Beauty Balm Serum Boosted Skin Tint","SHADE 15","#562D1B",0.22156862745098
"123","Anastasia Beverly Hills","Beauty Balm Serum Boosted Skin Tint","SHADE 16","#482E21",0.205882352941176
"124","Charlotte Tilbury","Unreal Skin Sheer Glow Tint","1 FAIR","#DAB99A",0.729411764705882
"125","Charlotte Tilbury","Unreal Skin Sheer Glow Tint","1.5 FAIR","#D3B18C",0.688235294117647
"126","Charlotte Tilbury","Unreal Skin Sheer Glow Tint","2 FAIR","#D2A882",0.666666666666667
"127","Charlotte Tilbury","Unreal Skin Sheer Glow Tint","3 FAIR","#CE9067",0.605882352941177
"128","Charlotte Tilbury","Unreal Skin Sheer Glow Tint","4 FAIR","#C89A79",0.629411764705882
"129","Charlotte Tilbury","Unreal Skin Sheer Glow Tint","5 MEDIUM","#CBA075",0.627450980392157
"130","Charlotte Tilbury","Unreal Skin Sheer Glow Tint","6 MEDIUM","#D4A070",0.635294117647059
"131","Charlotte Tilbury","Unreal Skin Sheer Glow Tint","7 MEDIUM","#DB9F6B",0.63921568627451
"132","Charlotte Tilbury","Unreal Skin Sheer Glow Tint","7.5 MEDIUM","#CF945C",0.586274509803922
"133","Charlotte Tilbury","Unreal Skin Sheer Glow Tint","8 MEDIUM","#D38C54",0.57843137254902
"134","Charlotte Tilbury","Unreal Skin Sheer Glow Tint","9 TAN","#BE7D43",0.503921568627451
"135","Charlotte Tilbury","Unreal Skin Sheer Glow Tint","10 TAN","#C1793E",0.5
"136","Charlotte Tilbury","Unreal Skin Sheer Glow Tint","11 TAN","#C87C58",0.564705882352941
"137","Charlotte Tilbury","Unreal Skin Sheer Glow Tint","12 TAN","#B37134",0.452941176470588
"138","Charlotte Tilbury","Unreal Skin Sheer Glow Tint","12.5 TAN","#A26234",0.419607843137255
"139","Charlotte Tilbury","Unreal Skin Sheer Glow Tint","13 DEEP","#9E633B",0.425490196078431
"140","Charlotte Tilbury","Unreal Skin Sheer Glow Tint","14 DEEP","#7F4629",0.329411764705882
"141","Charlotte Tilbury","Unreal Skin Sheer Glow Tint","15 DEEP","#753D26",0.303921568627451
"142","Charlotte Tilbury","Unreal Skin Sheer Glow Tint","16 DEEP","#6F3B26",0.292156862745098
"143","Charlotte Tilbury","Unreal Skin Sheer Glow Tint","17 DEEP","#664330",0.294117647058824
"144","Glossier","Stretch Fluid Foundation","VERY LIGHT 1","#FFE6D0",0.907843137254902
"145","Glossier","Stretch Fluid Foundation","VERY LIGHT 2","#FAD9BA",0.854901960784314
"146","Glossier","Stretch Fluid Foundation","VERY LIGHT 3","#F9DDB6",0.845098039215686
"147","Glossier","Stretch Fluid Foundation","VERY LIGHT 4","#F6D3AB",0.817647058823529
"148","Glossier","Stretch Fluid Foundation","LIGHT 1","#F7CB9C",0.790196078431373
"149","Glossier","Stretch Fluid Foundation","LIGHT 2","#F6CCA2",0.8
"150","Glossier","Stretch Fluid Foundation","LIGHT 3","#F6CD99",0.782352941176471
"151","Glossier","Stretch Fluid Foundation","LIGHT 5","#F6CC92",0.768627450980392
"152","Glossier","Stretch Fluid Foundation","MEDIUM 1","#DAA579",0.664705882352941
"153","Glossier","Stretch Fluid Foundation","MEDIUM 2","#D8A377",0.656862745098039
"154","Glossier","Stretch Fluid Foundation","MEDIUM 3","#C6915B",0.566666666666667
"155","Glossier","Stretch Fluid Foundation","MEDIUM 4","#D39E72",0.637254901960784
"156","Glossier","Stretch Fluid Foundation","MEDIUM 5","#D6A175",0.649019607843137
"157","Glossier","Stretch Fluid Foundation","MEDIUM TAN 1","#B78353",0.52156862745098
"158","Glossier","Stretch Fluid Foundation","MEDIUM TAN 2","#AF7C4F",0.498039215686275
"159","Glossier","Stretch Fluid Foundation","MEDIUM TAN 3","#A46E40",0.447058823529412
"160","Glossier","Stretch Fluid Foundation","MEDIUM TAN 4","#9C5E37",0.413725490196078
"161","Glossier","Stretch Fluid Foundation","MEDIUM TAN 5","#8D4D2A",0.358823529411765
"162","Glossier","Stretch Fluid Foundation","MEDIUM DEEP 1","#8F4F2B",0.364705882352941
"163","Glossier","Stretch Fluid Foundation","MEDIUM DEEP 2","#76441F",0.292156862745098
"164","Glossier","Stretch Fluid Foundation","MEDIUM DEEP 3","#633B22",0.26078431372549
"165","Glossier","Stretch Fluid Foundation","MEDIUM DEEP 4","#5E311C",0.23921568627451
"166","Glossier","Stretch Fluid Foundation","DEEP 1","#7F4424",0.319607843137255
"167","Glossier","Stretch Fluid Foundation","DEEP 2","#512D13",0.196078431372549
"168","Glossier","Stretch Fluid Foundation","DEEP 3","#5C2E14",0.219607843137255
"169","Glossier","Stretch Fluid Foundation","DEEP 4","#4C2913",0.186274509803922
"170","Glossier","Stretch Fluid Foundation","DEEP 5","#361C0F",0.135294117647059
"171","Glossier","Stretch Fluid Foundation","VERY DEEP 1","#37210C",0.131372549019608
"172","Glossier","Stretch Fluid Foundation","VERY DEEP 2","#40260D",0.150980392156863
"173","Glossier","Stretch Fluid Foundation","VERY DEEP 3","#33170C",0.123529411764706
"174","Glossier","Stretch Fluid Foundation","VERY DEEP 4","#2E1B0C",0.113725490196078
"175","Glossier","Stretch Fluid Foundation","LIGHT 4","#F7CCA1",0.8
"176","Glossier","Perfecting Skin Tint","G1","#5E3E2F",0.276470588235294
"177","Glossier","Perfecting Skin Tint","G2","#784B38",0.345098039215686
"178","Glossier","Perfecting Skin Tint","G3","#9D6544",0.441176470588235
"179","Glossier","Perfecting Skin Tint","G4","#B67C56",0.525490196078431
"180","Glossier","Perfecting Skin Tint","G5","#D39066",0.613725490196078
"181","Glossier","Perfecting Skin Tint","G6","#D4956C",0.627450980392157
"182","Glossier","Perfecting Skin Tint","G7","#DCA177",0.664705882352941
"183","Glossier","Perfecting Skin Tint","G9","#E1AE81",0.694117647058824
"184","Glossier","Perfecting Skin Tint","G10","#E0AE8B",0.711764705882353
"185","Glossier","Perfecting Skin Tint","G11","#EFCBAB",0.803921568627451
"186","Glossier","Perfecting Skin Tint","G12","#E7C2A7",0.780392156862745
"187","Glossier","Perfecting Skin Tint","G8","#DDA880",0.684313725490196
"188","Westman Atelier","Vital Skin Foundation Stick","ATELIER N","#F6E0D2",0.894117647058823
"189","Westman Atelier","Vital Skin Foundation Stick","ATELIER O","#E7D2BD",0.823529411764706
"190","Westman Atelier","Vital Skin Foundation Stick","ATELIER O.5","#E5D3BB",0.815686274509804
"191","Westman Atelier","Vital Skin Foundation Stick","ATELIER I","#EAD3B4",0.811764705882353
"192","Westman Atelier","Vital Skin Foundation Stick","ATELIER II","#F7D5BC",0.852941176470588
"193","Westman Atelier","Vital Skin Foundation Stick","ATELIER III","#E2C9AA",0.776470588235294
"194","Westman Atelier","Vital Skin Foundation Stick","ATELIER IV","#D9BB99",0.725490196078431
"195","Westman Atelier","Vital Skin Foundation Stick","ATELIER V","#D8BA96",0.717647058823529
"196","Westman Atelier","Vital Skin Foundation Stick","ATELIER VI","#E2B691",0.727450980392157
"197","Westman Atelier","Vital Skin Foundation Stick","ATELIER VII","#CEAC86",0.666666666666667
"198","Westman Atelier","Vital Skin Foundation Stick","ATELIER IX","#C79F7C",0.633333333333333
"199","Westman Atelier","Vital Skin Foundation Stick","ATELIER X","#BD9270",0.590196078431373
"200","Westman Atelier","Vital Skin Foundation Stick","ATELIER X.25","#BF8560",0.562745098039216
"201","Westman Atelier","Vital Skin Foundation Stick","ATELIER X.5","#AF734E",0.496078431372549
"202","Westman Atelier","Vital Skin Foundation Stick","ATELIER XI","#9A6D4C",0.450980392156863
"203","Westman Atelier","Vital Skin Foundation Stick","ATELIER XI.5","#946746",0.427450980392157
"204","Westman Atelier","Vital Skin Foundation Stick","ATELIER XIII","#6E4831",0.311764705882353
"205","Westman Atelier","Vital Skin Foundation Stick","ATELIER XIV","#703B1C",0.274509803921569
"206","Westman Atelier","Vital Skin Foundation Stick","ATELIER XV","#572A13",0.207843137254902
"207","Westman Atelier","Vital Skin Foundation Stick","ATELIER XII","#7F553C",0.366666666666667
"208","By Terry","Brightening CC Foundation",", 1C - FAIR COOL","#F0CAB7",0.829411764705882
"209","By Terry","Brightening CC Foundation","1N - FAIR NEUTRAL","#F4D5B8",0.83921568627451
"210","By Terry","Brightening CC Foundation","1W - FAIR WARM","#F7DEBF",0.858823529411765
"211","By Terry","Brightening CC Foundation","2C - LIGHT COOL","#ECC2A9",0.794117647058824
"212","By Terry","Brightening CC Foundation","2N - LIGHT NEUTRAL","#F3D0B2",0.825490196078431
"213","By Terry","Brightening CC Foundation","2W - LIGHT WARM","#F4D4AE",0.819607843137255
"214","By Terry","Brightening CC Foundation","3C - MEDIUM LIGHT COOL","#EFC5AD",0.807843137254902
"215","By Terry","Brightening CC Foundation","3N - MEDIUM LIGHT NEUTRAL","#EECAB4",0.819607843137255
"216","By Terry","Brightening CC Foundation","3W - MEDIUM LIGHT WARM","#F1C9A5",0.796078431372549
"217","By Terry","Brightening CC Foundation","4C - MEDIUM COOL","#E2AC90",0.725490196078431
"218","By Terry","Brightening CC Foundation","4N - MEDIUM NEUTRAL","#E8C5A9",0.786274509803922
"219","By Terry","Brightening CC Foundation","4W - MEDIUM WARM","#EFC3A0",0.782352941176471
"220","By Terry","Brightening CC Foundation","5C - MEDIUM TAN COOL","#DEB08F",0.715686274509804
"221","By Terry","Brightening CC Foundation","5N - MEDIUM TAN NEUTRAL","#E2B490",0.725490196078431
"222","By Terry","Brightening CC Foundation","5W - MEDIUM TAN WARM","#DFB390",0.719607843137255
"223","By Terry","Brightening CC Foundation","6C - TAN COOL","#DDA888",0.7
"224","By Terry","Brightening CC Foundation","6N - TAN NEUTRAL","#DBAD93",0.717647058823529
"225","By Terry","Brightening CC Foundation","6W - TAN WARM","#CC8F60",0.588235294117647
"226","By Terry","Brightening CC Foundation","7C - MEDIUM DEEP COOL","#BA724A",0.509803921568627
"227","By Terry","Brightening CC Foundation","7N - MEDIUM DEEP NEUTRAL","#CB8C61",0.588235294117647
"228","By Terry","Brightening CC Foundation","7W - MEDIUM DEEP WARM","#AD6E4D",0.490196078431373
"229","By Terry","Brightening CC Foundation","8C - DEEP COOL","#753E2A",0.311764705882353
"230","By Terry","Brightening CC Foundation","8N - DEEP NEUTRAL","#5C3C27",0.256862745098039
"231","By Terry","Brightening CC Foundation","8W - DEEP WARM","#6D3E20",0.276470588235294
"232","Chantecaille","Just Skin Tinted Moisturizer SPF 15","AURA","#FFEFE0",0.93921568627451
"233","Chantecaille","Just Skin Tinted Moisturizer SPF 15","ALABASTER","#FFEED8",0.923529411764706
"234","Chantecaille","Just Skin Tinted Moisturizer SPF 15","BLISS","#FFE3CD",0.901960784313726
"235","Chantecaille","Just Skin Tinted Moisturizer SPF 15","VANILLA","#FDDABC",0.864705882352941
"236","Chantecaille","Just Skin Tinted Moisturizer SPF 15","NUDE","#FECBAC",0.835294117647059
"237","Chantecaille","Just Skin Tinted Moisturizer SPF 15","GLOW","#F9C498",0.786274509803922
"238","Chantecaille","Just Skin Tinted Moisturizer SPF 15","TAN","#FAB991",0.774509803921569
"239","Chantecaille","Just Skin Tinted Moisturizer SPF 15","WHEAT","#EEA874",0.694117647058824
